蕾,雷
绷,朋
洲,州
努,力
椿,春
咱,自
桀,木
蹒,满
掏,匋
空,工
穷,力
啃,肯
泛,乏
阎,臽
肃,八
悼,卓
披,皮
瞪,登
氏,七
茗,名
仆,卜
韬,舀
鑫,金
眨,乏
砭,乏
洛,各
镖,票
猡,罗
逾,俞
铤,廷
橄,敢
纤,千
馅,臽
鹞,鸟
瘾,隐
泥,尼
樨,犀
僭,日
娼,昌
蛭,至
褴,监
捞,劳
稽,旨
袍,包
鹊,鸟
倩,青
墓,墓
坟,文
俱,具
佛,弗
蛸,肖
雀,隹
醛,全
瞠,堂
篡,篡
筐,匡
绚,旬
撼,感
茬,在
睛,青
梢,肖
拴,全
瑙,囟
吸,及
扇,羽
芯,心
鸿,鸟
呀,牙
褐,曷
灵,火
蔷,啬
哗,华
烟,因
牙,牙
独,虫
蔫,焉
鞑,达
咎,口
圯,巳
蛎,厉
习,习
芹,斤
扉,非
油,由
症,正
刨,刂
癀,黄
川,川
蛆,且
夹,夹
浆,水
帝,巾
幄,屋
慰,心
览,见
搀,免
框,匡
千,千
伸,申
毡,占
玛,马
浩,告
腻,贰
限,艮
砰,平
姥,老
挺,廷
器,犬
俸,奉
筝,争
秀,乃
灶,土
绳,黾
抒,予
洱,耳
骢,心
宫,吕
郡,阝
昭,召
佘,示
碾,展
雨,雨
伥,长
妈,马
民,民
凭,几
氨,安
啸,肃
碴,查
员,贝
待,寺
蓿,宿
矍,隻
族,族
庇,比
骨,月
噶,葛
疹,珍
溏,唐
鲲,昆
诡,危
溱,秦
君,君
阐,单
粕,白
挫,坐
骑,奇
桓,亘
礁,焦
鸬,鸟
飑,包
荧,火
瘀,於
耘,云
梧,吾
裱,表
亿,乙
裸,果
痢,利
渲,宣
次,欠
允,儿
焙,咅
箫,肃
羞,丑
备,田
城,成
棋,其
樾,越
蛋,虫
百,白
崇,宗
敢,攵
检,佥
鲱,非
匐,畐
跤,交
婆,女
书,书
无,尢
麋,米
蛙,圭
率,率
汨,日
缅,面
辄,耳
黑,黑
辖,害
逐,豕
雷,田
靓,见
捶,垂
卑,十
谩,曼
窘,君
笆,巴
刑,刂
兮,丂
笙,生
圈,卷
推,隹
差,工
咤,宅
籽,子
褪,退
楂,查
畏,衣
渍,责
蹊,奚
颓,页
茨,次
访,方
石,石
述,术
平,平
伽,加
摄,聂
怀,不
叻,力
掰,手
偿,尝
淮,隹
浴,谷
鳝,善
荦,牛
蟑,章
到,刂
竟,儿
土,土
芙,夫
樟,章
滓,宰
碰,並
峥,争
痊,全
兀,儿
粽,宗
锡,易
里,土
猬,胃
坏,不
缨,婴
过,寸
蝗,皇
憾,感
技,支
蕊,心
炮,包
词,司
蒋,将
冥,六
扛,工
皓,告
劲,力
菱,夌
担,旦
遵,尊
要,女
垒,土
响,向
少,少
誓,言
苜,目
渚,者
瓜,瓜
纾,予
轴,由
丢,去
伤,力
酱,酉
迦,加
掀,欣
覆,復
臂,月
糍,兹
跨,夸
授,受
侧,则
飕,叟
嘲,朝
铆,卯
熠,習
趄,且
罄,缶
氧,羊
新,斤
埃,矣
蟹,虫
绊,半
徽,攵
羔,羔
抡,仑
搏,尃
尔,小
雄,隹
鲇,占
句,句
怆,仓
矿,广
才,才
吏,口
舵,它
怡,台
杂,木
僻,辟
祟,示
螺,累
稀,希
苔,台
酚,分
膘,票
村,寸
能,匕
铲,产
雏,隹
危,厄
氰,青
浒,许
耿,火
裁,衣
澎,彭
绢,肙
泰,水
离,厶
殄,珍
龛,龙
虱,虫
早,早
健,建
戳,戈
荡,汤
雁,隹
熏,熏
积,只
孺,需
邛,阝
楸,秋
奋,田
啕,匋
莆,甫
咔,卡
撵,车
圾,及
缘,彖
绽,定
疝,山
朦,蒙
布,巾
鼠,鼠
盔,皿
究,九
椟,卖
烁,乐
赐,易
呆,木
叨,刀
闭,才
梳,流
啤,卑
由,由
仃,丁
斧,斤
瘙,蚤
虏,力
萨,产
于,于
伫,三
晨,辰
潺,子
舱,仓
重,里
纪,己
釜,王
锃,呈
浠,希
结,吉
乾,乞
仇,九
锣,罗
懒,赖
参,彡
印,卩
亨,了
壮,士
赫,赤
铟,因
着,目
泣,立
瘠,脊
拘,句
悭,坚
邢,阝
初,刀
酬,州
轧,轧
帮,巾
愚,心
喔,屋
农,衣
彰,彡
蘑,磨
狼,良
樊,大
唯,隹
肴,有
假,叚
呤,令
室,至
杰,杰
禽,离
鼻,畀
猫,苗
店,占
硬,更
鸦,鸟
茉,末
傲,敖
郸,阝
苒,冉
牲,生
躬,弓
眶,匡
朽,丂
孟,皿
曝,暴
雾,务
曲,曲
蹬,登
劳,力
余,木
跌,失
炬,巨
北,北
荨,寻
湍,耑
毒,母
喊,咸
擂,雷
硒,西
岌,及
瘦,叟
明,月
舀,臼
薪,新
愁,心
欣,欠
浅,戋
闲,木
脑,凶
偷,俞
螳,堂
虚,业
激,敫
扈,邑
蒡,旁
喃,南
囹,令
零,令
译,又
骋,甹
此,匕
发,发
软,欠
胰,夷
翰,羽
系,糸
嫉,疾
意,心
竣,夋
恶,心
质,贝
符,付
邈,貌
飞,飞
洼,圭
渭,胃
奚,大
怼,心
翻,羽
馑,堇
熔,容
殿,殳
寡,刀
塔,荅
蔡,祭
衷,中
锰,孟
蒌,娄
脯,甫
障,章
姜,女
二,二
宕,石
谭,覃
历,力
栗,木
惶,皇
疫,殳
瞩,属
妇,彐
遣,吕
谍,枼
崃,来
祛,去
簸,皮
畅,扬
苍,仓
很,艮
艰,艮
皇,王
迹,亦
肓,月
恬,舌
钻,占
颀,页
吴,天
偏,扁
长,长
暄,宣
庖,包
唤,奂
禧,喜
遴,粦
通,甬
劣,力
儋,詹
踪,宗
亲,木
蹭,曾
叟,又
际,示
潲,稍
星,生
蚤,虫
薅,辱
荣,木
刎,刂
蕙,惠
七,七
治,台
擀,幹
肖,月
串,串
入,入
窜,串
航,亢
垛,朵
脸,佥
茱,朱
楚,疋
示,小
瓢,瓜
反,又
芍,勺
乡,乡
昙,云
鹦,鸟
繁,糸
尿,水
瀑,暴
匮,贵
挎,夸
龉,吾
怵,术
肾,月
鹰,鸟
方,万
婚,昏
媲,比
炖,屯
朔,月
猢,胡
风,风
啦,拉
昂,卬
奏,天
饬,力
拽,曳
锵,将
霞,叚
囊,衣
邂,解
唇,口
崴,威
侣,吕
间,日
素,糸
今,今
兢,克
蒿,高
漩,旋
舜,舛
忙,亡
笨,本
冰,水
迢,召
辇,车
免,儿
搐,畜
惠,心
朗,月
锯,居
向,冋
沾,占
窖,告
姊,姊
米,木
亭,丁
搔,蚤
眈,冘
讯,卂
塞,土
八,八
聩,贵
驸,付
群,羊
掴,国
胧,龙
硌,各
科,斗
芦,户
晖,军
踯,郑
扰,尤
喻,俞
廊,郎
诸,者
酶,每
瓯,瓦
霜,相
翠,卒
蚨,夫
赣,贡
溢,益
严,丿
祯,贞
滞,带
总,心
蜢,孟
绍,召
骄,乔
戮,戈
迅,卂
腑,府
翩,羽
徒,走
咕,古
蝴,胡
狞,宁
吮,允
描,苗
势,力
镀,度
雍,隹
桔,吉
祗,氐
胃,月
牧,攵
硕,页
橼,缘
娇,乔
潞,路
伟,韦
谛,帝
都,阝
荪,孙
列,刂
户,尸
首,目
搡,桑
髁,果
忤,午
奈,示
钴,古
敷,攵
完,元
悯,闵
嗽,欠
藕,耦
了,了
漾,永
癜,殿
恼,凶
矫,乔
趾,止
怪,圣
态,心
废,发
疗,了
或,口
徙,止
遥,摇
罅,乎
醒,星
召,口
翔,羽
攸,攵
篱,离
坡,皮
矮,委
建,聿
环,不
弛,也
煳,胡
号,丂
删,刂
喷,贲
愠,昷
徘,非
冢,豕
寮,尞
摹,手
从,人
揄,俞
蚁,义
莎,沙
裙,君
匾,扁
舰,见
荭,红
巴,巴
朝,月
宋,木
硼,朋
叱,匕
乒,乒
惦,店
记,己
傅,尃
躺,尚
嗷,敖
镜,竟
紫,糸
刃,丶
宰,辛
龅,包
戏,戈
糅,柔
籁,赖
言,口
异,廾
普,日
洒,西
匈,凶
讷,内
匕,匕
汛,卂
憩,心
忍,心
扳,反
鄞,阝
罚,刂
毽,建
腆,典
蒸,烝
渺,眇
公,公
撷,頁
速,束
角,用
魇,鬼
烦,页
鞭,便
篾,戍
桨,木
陶,匋
沦,仑
手,手
故,攵
竖,立
樱,婴
爵,寸
苗,田
狳,余
葵,癸
暖,爰
庵,奄
莘,辛
瞻,詹
琴,今
骰,殳
翱,羽
狸,里
横,黄
濠,豪
啪,拍
赶,干
蕴,昷
臻,秦
屹,乞
会,云
缈,眇
博,尃
皖,完
槛,监
咫,只
垮,夸
璀,崔
帼,国
驱,区
又,又
肛,工
喜,口
干,干
善,口
豪,豕
捕,甫
寅,八
韦,韦
札,札
忑,心
瘁,卒
徊,回
债,责
丫,丫
钟,中
岸,干
每,母
豁,谷
御,卸
旺,王
见,儿
辅,甫
破,皮
窕,兆
轨,九
蠕,需
绸,周
唏,希
答,合
按,安
娑,沙
住,主
芸,云
跆,台
峦,山
团,才
月,月
辍,叕
朵,木
赦,攵
樵,焦
揪,秋
孔,孔
誉,言
咏,永
戒,廾
镇,真
襄,井
和,口
返,反
奠,大
圄,吾
敏,攵
含,口
熨,火
择,又
媛,爰
绰,卓
镭,雷
线,戋
夸,亏
瘪,仑
栋,东
蛊,皿
润,闰
孤,瓜
逍,肖
挝,过
疱,包
哄,共
诫,戒
杯,不
闹,市
姑,古
蔑,戍
砸,匝
宵,肖
恫,同
殡,宾
应,应
煤,某
诩,羽
拗,幼
隶,水
泫,玄
淘,匋
寐,未
果,木
蝼,娄
盒,皿
郑,阝
嫣,焉
擢,翟
只,只
秩,失
娠,辰
吻,勿
吒,乇
瓶,瓦
充,允
凉,京
鸸,鸟
辐,畐
兵,兵
捉,足
绎,又
填,真
薄,溥
吊,巾
测,则
架,木
抛,力
叠,且
匡,王
理,里
刷,刂
雳,历
赏,员
衬,寸
巧,丂
嵋,眉
组,且
旧,日
髻,吉
煽,扇
呜,乌
亟,亟
锟,昆
单,十
癞,赖
膜,莫
九,九
就,尤
歉,欠
秽,岁
佻,兆
字,子
卧,卜
两,从
篆,彖
栽,木
难,隹
袜,末
煎,煎
汇,匚
谀,臾
槟,宾
快,夬
噌,曾
败,攵
蟒,莽
陋,丙
动,力
州,州
遽,豦
鳄,咢
伊,尹
咀,且
抵,氐
呼,乎
怠,心
蛔,回
蜱,卑
眠,民
程,呈
灿,山
卉,廾
湘,相
岘,见
吕,口
犬,犬
骉,马
袅,衣
淧,必
攥,糸
残,戋
怨,心
刁,刁
锦,帛
正,止
毗,比
锄,助
骥,冀
乳,乳
诛,朱
搞,高
铃,令
祥,羊
襁,强
韭,韭
驾,马
蝶,枼
腭,咢
仍,乃
亮,几
魂,鬼
斟,斗
郴,阝
懂,董
髓,遀
氯,录
犯,犯
呛,仓
铄,乐
钰,玉
阄,龟
央,大
潦,尞
踊,甬
勇,力
髅,娄
豆,豆
徉,羊
冒,目
讲,井
铣,先
泯,民
讨,寸
颁,页
枯,古
拉,立
鼹,晏
恐,心
挥,军
惺,星
咋,乍
酣,甘
插,臿
莞,完
烤,考
椋,京
骇,亥
编,扁
诟,后
萧,肃
漠,莫
灭,火
玉,玉
实,头
煌,皇
峙,寺
找,戈
蝠,畐
钉,丁
足,走
谋,某
奖,大
菲,非
薜,辟
邡,阝
锐,兑
育,月
拙,出
孢,包
拳,手
估,古
谄,臽
骡,累
路,各
漆,桼
往,主
嘴,角
升,升
消,肖
柱,主
耗,毛
颧,页
潼,童
镊,聂
福,畐
图,冬
网,乂
仕,士
爸,巴
军,车
皿,皿
瑟,必
警,言
搓,差
小,小
蔓,曼
逑,求
篑,贵
当,当
滁,除
韶,召
彗,彗
绪,者
椰,耶
奇,可
甲,甲
济,齐
工,工
昼,旦
以,人
帚,巾
弄,廾
饯,戋
虑,心
乖,北
弓,弓
犄,奇
犟,牛
透,秀
砺,厉
照,照
潇,萧
砌,切
腩,南
观,见
输,俞
日,日
武,止
楠,南
对,寸
躁,喿
蚬,见
周,吉
剩,刂
晕,军
顾,页
胖,半
焚,火
账,长
拒,巨
璞,菐
讶,牙
芷,止
孙,小
馁,妥
焊,旱
姆,母
睾,幸
薹,臺
讴,区
冈,冈
瑕,叚
赈,辰
撰,巽
桐,同
黛,黑
旨,日
蛀,主
糊,胡
舞,舛
中,中
彤,彡
桥,乔
签,佥
蔚,尉
孽,子
筏,伐
懦,需
瑁,冒
渊,米
塘,唐
乌,乌
薰,熏
仿,方
束,口
炉,户
踹,耑
堂,土
卖,买
验,佥
情,青
耕,井
讳,韦
郁,阝
弗,弗
啐,卒
忾,气
沉,冗
赛,贝
鹄,鸟
瓷,瓦
巅,颠
戛,戈
呓,艺
尚,冋
管,官
肄,聿
膨,彭
槽,曹
柬,口
梁,木
除,余
嚼,爵
柔,木
讼,公
企,止
履,復
酿,良
抠,区
播,番
味,未
惘,罔
割,刂
旅,派
侃,川
膏,月
阻,且
试,式
没,殳
斡,斗
卵,卵
吞,口
拔,犮
卒,十
噪,喿
并,开
摇,摇
盲,目
喱,厘
圭,土
偎,畏
愈,心
猎,昔
刀,刀
院,完
垩,土
坊,方
抬,台
们,门
牺,西
陲,垂
脆,危
奥,大
寿,寸
食,良
寺,寸
曹,日
谧,皿
最,取
锴,皆
扑,卜
箴,咸
狈,贝
拓,石
铿,坚
粪,共
退,艮
檎,禽
构,勾
蛲,尧
钾,甲
妖,夭
岐,支
哈,合
贾,贝
氦,亥
庐,户
砍,欠
拍,白
边,力
真,真
疴,可
邹,阝
孝,子
妣,比
嗅,臭
赠,曾
矛,矛
琅,良
坞,乌
挂,圭
勺,勺
酌,勺
饲,司
咄,出
狰,争
先,儿
猩,星
枉,王
尸,尸
犷,广
琼,京
眩,玄
柒,木
办,八
姚,兆
甄,瓦
煸,扁
燃,然
菁,青
玳,代
厩,既
坻,氐
杆,干
迤,也
靼,旦
氢,巠
募,力
淌,尚
啖,炎
瀛,嬴
钱,戋
聋,耳
佑,右
居,古
且,且
羌,羌
疆,畺
信,言
靠,非
律,聿
玷,占
拯,丞
振,辰
姐,且
藉,耤
冬,冬
浜,兵
臭,犬
疵,此
佩,帀
议,义
旱,干
苛,可
苑,夗
成,成
控,空
咛,宁
翡,羽
妥,女
曼,曼
貌,皃
勿,勿
揭,曷
歇,欠
转,专
轿,乔
诧,宅
幂,巾
茵,因
褛,娄
之,之
营,吕
唁,言
窨,音
掖,夜
嚏,疋
霄,肖
饱,包
箔,泊
蚣,公
馊,叟
剿,刂
砀,扬
簿,溥
郊,阝
疼,冬
倮,果
蠢,虫
士,士
拄,主
门,门
琉,流
悄,肖
彪,彡
漪,奇
焖,闷
因,大
烂,兰
遭,曹
绝,色
丑,土
芋,于
昧,未
锗,者
幸,干
陛,土
骁,尧
厦,夏
径,巠
鳃,思
登,豆
陟,步
粱,米
蟠,番
嶙,粦
踝,果
另,力
缎,段
礼,礼
溯,朔
口,口
弟,弔
孩,亥
薯,署
蹰,厨
翘,羽
讥,几
捭,卑
父,父
屏,并
炝,仓
影,彡
卜,卜
逤,沙
票,示
宪,先
距,巨
碘,典
蛳,师
莪,我
赊,佘
隆,生
轱,古
净,争
忪,公
坠,土
缚,尃
柁,它
漂,票
悔,每
钿,田
医,矢
搬,般
枸,句
皆,白
瓦,瓦
巍,魏
絮,糸
美,大
掣,手
蛮,虫
染,木
可,口
叙,又
术,术
劈,刀
麦,夂
坚,土
崩,朋
蜻,青
象,豕
墨,土
弃,弁
露,路
壁,土
题,页
孪,子
猛,孟
俏,肖
馒,曼
嗓,桑
娈,女
俐,利
跋,犮
那,阝
诗,寺
祖,且
举,十
幡,番
富,畐
蝓,俞
侈,多
晋,日
庆,大
泊,白
躇,著
丧,衣
茯,伏
涞,来
脚,却
义,义
檄,敫
踞,居
夺,寸
迫,白
蔬,疏
膛,堂
卦,卜
丸,丸
巡,巛
柴,木
莫,大
愎,复
胜,生
巾,巾
生,
岖,区
蜜,虫
阜,十
棹,卓
陷,臽
彷,方
焰,臽
喙,彖
坳,幼
贵,贝
楣,眉
苹,平
屋,至
嗲,爹
宛,夗
得,寸
砷,申
马,马
诈,乍
压,土
僚,尞
怎,心
摒,屏
秤,平
姻,因
禾,木
铳,充
祭,示
邸,阝
摺,習
贮,贮
谆,享
嘘,虚
飘,风
辕,袁
榜,旁
隋,月
榄,览
沫,末
飓,具
朋,月
司,口
纂,糸
精,青
玺,玉
仅,又
考,丂
颂,页
谓,胃
枭,木
湃,拜
痼,固
裎,呈
慵,庸
半,十
甫,甫
庙,由
鳕,雪
您,心
瞬,舜
孀,霜
噎,壹
跃,夭
妲,旦
蓉,容
屯,凵
泼,发
深,罙
潍,维
针,十
鼾,干
冠,寸
禀,示
争,争
镉,鬲
葛,曷
注,主
世,世
淬,卒
香,日
牒,枼
颢,页
犒,高
烽,夆
视,见
床,木
惰,月
钲,正
晓,尧
聒,舌
痴,知
王,土
鲼,贲
署,者
诲,每
鲈,卢
饷,向
坛,云
徕,来
蓑,衰
譬,言
诣,旨
江,工
贬,乏
恣,心
湎,面
锚,苗
珈,加
鳐,摇
邋,巤
舍,舍
眷,目
灸,火
矢,矢
辆,两
缤,宾
婴,女
捍,旱
诵,甬
唿,忽
纲,冈
涉,步
践,戋
饼,并
立,立
帆,凡
厕,则
涟,连
祀,巳
昕,斤
扫,彐
贼,戎
倾,顷
缆,览
函,了
沁,心
坍,丹
阖,盍
状,犬
瘫,难
鬼,厶
威,女
轮,仑
耒,耒
榕,容
暗,音
拆,斥
已,已
庞,龙
氙,山
颗,页
胴,同
惬,夾
纠,丩
艇,廷
庶,灬
嘌,票
旖,奇
涂,余
比,匕
读,卖
既,旡
四,儿
索,糸
痍,夷
袱,伏
杜,土
拢,龙
部,阝
歆,欠
沂,斤
心,心
悴,卒
彬,彡
吟,今
嬴,女
醋,昔
葆,保
殊,朱
宿,百
吱,支
辽,了
颇,页
烫,火
妍,开
湖,胡
狒,弗
命,叩
汕,山
枷,加
樯,啬
犰,九
唠,劳
厉,万
蛇,它
简,间
嵘,荣
纣,寸
蹶,厥
落,洛
林,木
狂,王
杖,丈
节,节
笃,马
梏,告
鹋,鸟
诱,秀
剧,居
栏,兰
把,巴
鲁,日
滋,兹
汾,分
堤,是
顶,页
俗,谷
浣,完
料,斗
宸,辰
析,斤
嵌,欠
瑞,耑
艮,艮
噗,菐
诞,延
老,匕
恰,合
凶,凶
脂,旨
澡,喿
罂,缶
彼,皮
氚,川
逗,豆
钝,屯
山,山
扁,扁
领,页
尾,毛
品,口
攀,手
云,云
松,公
握,屋
奕,大
荞,乔
孳,子
讽,风
辉,军
铖,成
骈,并
恢,灰
降,夅
犸,马
淳,享
锑,弟
拥,用
萤,虫
球,求
纭,云
倌,官
太,太
熄,息
旭,日
版,反
共,共
页,贝
悟,吾
具,八
讧,工
桃,兆
撤,攵
骸,亥
掳,虏
赞,贝
希,布
叵,口
羚,令
浸,侵
迂,于
淡,炎
貘,莫
镰,廉
虎,几
筹,寿
逼,畐
偶,禺
出,山
识,只
稔,念
隘,益
数,数
策,朿
鬓,宾
钽,旦
弹,单
竿,干
瘴,章
篇,扁
辜,辛
镝,啇
寂,叔
捺,奈
臃,雍
蜕,兑
栈,戋
桦,华
需,而
茜,西
婪,女
忡,中
阁,各
嚓,察
隍,皇
昵,尼
昶,日
他,也
姓,生
临,口
衫,彡
录,水
嘶,斯
蹄,帝
氡,冬
忿,心
主,王
妃,己
莺,鸟
逊,孙
胶,交
爹,多
笤,召
攻,攵
鲑,圭
恪,各
垡,土
话,舌
钢,冈
原,小
突,犬
掷,郑
鼯,吾
舆,八
屎,米
堵,者
颤,页
谴,遣
蹲,尊
舫,方
黾,电
呐,内
镌,隽
植,直
淤,於
陕,夹
度,又
饺,交
叉,叉
延,止
秦,禾
羲,戈
刺,刂
衅,半
跄,仓
汹,凶
沟,勾
茸,耳
鲶,念
谘,咨
眼,艮
灯,丁
蹈,舀
佳,圭
遛,留
柯,可
智,日
褓,保
乔,乔
獭,赖
秃,几
楷,皆
噩,口
境,竟
泻,写
淀,定
级,及
彩,彡
耐,寸
满,满
类,大
市,巾
脓,农
塌,塌
蓝,监
俨,严
蜍,余
罢,去
毂,車
堆,隹
蚂,马
瀚,翰
造,告
番,田
聆,令
侵,侵
踌,寿
浮,孚
嬉,喜
幌,晃
刈,刂
糙,造
寨,木
粮,良
淄,甾
灌,雚
房,方
尊,寸
姨,夷
交,乂
堪,甚
与,与
窍,巧
瞒,满
轩,干
妮,尼
脊,月
促,足
娩,免
优,尤
端,耑
饥,几
捏,土
浓,农
酪,各
掮,肩
丝,丝
名,口
斜,斗
儡,田
疮,仓
滴,啇
肥,巴
愫,素
埠,阜
癫,颠
疟,巾
眙,台
锏,间
嘭,彭
洞,同
踏,沓
剖,刂
驰,也
泾,巠
谬,翏
苓,令
枪,仓
垃,立
著,者
窗,囱
撩,尞
俚,里
铧,华
邳,阝
鹬,鸟
贪,贝
擦,察
崽,思
戾,犬
衍,衍
夫,夫
必,必
锢,固
贞,贝
鲵,兒
捣,岛
盟,皿
醉,卒
撞,童
样,羊
椁,享
翅,羽
察,祭
弋,弋
菩,咅
面,囬
萦,糸
丈,丈
荟,会
颖,禾
伴,半
翁,羽
域,或
曾,日
迪,由
晃,光
嫌,兼
谊,宜
娅,亚
芽,牙
付,寸
淋,林
男,力
禅,单
条,木
惑,心
裔,冏
欢,欠
溪,奚
取,又
兴,兴
蜥,析
捅,甬
愣,方
鸩,鸟
池,也
岂,己
猾,骨
持,寺
蜩,周
懵,瞢
委,女
暨,旦
暴,水
纬,韦
俪,丽
倡,昌
厚,子
孚,子
妩,无
牢,牛
赂,各
乱,乱
嘛,麻
务,力
糯,需
苷,甘
绒,戎
复,夊
终,冬
镐,高
嫘,累
驮,大
牦,毛
滦,栾
枣,枣
磬,石
狐,瓜
晦,每
腕,宛
奂,大
匹,儿
岩,石
僵,畺
枫,风
陉,巠
剁,刂
芭,巴
栎,乐
略,各
溧,栗
腴,臾
根,艮
髋,宽
害,口
婀,阿
瘤,留
娲,呙
暹,隹
涿,豕
折,斤
伯,白
琐,锁
拨,发
竹,个
鹫,鸟
痉,巠
怅,长
盯,丁
拜,丰
汶,文
蚊,文
蓟,刂
森,林
木,八
菊,匊
电,电
袈,衣
歧,支
迟,尺
烛,虫
阑,柬
芥,介
宴,妟
柑,甘
憬,景
崮,固
馀,余
不,不
稻,舀
疤,巴
腔,空
蛐,曲
雌,隹
蜡,昔
时,寸
巳,巳
扩,广
潮,朝
芝,之
冲,中
胳,各
售,口
锒,良
骚,蚤
换,奂
嗑,盍
毅,殳
涎,延
裨,卑
淑,叔
迎,卬
炽,只
些,些
提,是
锅,呙
缔,帝
剂,刂
曰,曰
款,欠
钨,乌
辫,纟
驯,川
趣,取
驴,户
绵,帛
彦,彡
睥,卑
葺,咠
砗,车
觑,见
绶,受
拭,式
鹤,鸟
咚,冬
锤,垂
衣,衣
瓴,瓦
患,心
某,木
母,母
鳗,曼
材,才
训,川
妻,女
走,走
刮,刂
敌,攵
循,盾
鹏,鸟
噜,鲁
地,也
睿,目
怖,布
尧,兀
蟆,莫
哪,那
爽,爻
暌,癸
痨,劳
铅,口
酰,先
妹,未
胤,月
濯,翟
吐,土
偃,妟
萝,罗
丽,丽
哑,亚
遑,皇
娶,女
帕,白
忐,心
馕,囊
掠,京
株,朱
灼,勺
接,妾
特,寺
存,仔
砥,氐
谡,夂
裴,衣
谐,皆
裟,衣
貅,休
集,木
杏,口
听,斤
跬,圭
燥,喿
昍,日
社,土
汽,气
苯,本
冯,马
恳,心
髌,宾
嬷,麽
埙,员
俾,卑
虽,虫
附,付
寻,寸
呵,可
壕,豪
帷,隹
佾,月
秘,必
垢,后
久,久
盼,分
合,口
咆,包
想,心
岭,令
桶,甬
衢,瞿
奉,十
红,工
腿,退
敛,攵
匠,斤
汐,夕
踩,采
镶,襄
服,又
冀,異
杳,日
蒂,帝
圳,川
伙,火
藻,澡
购,勾
殴,殳
灰,火
缮,善
椒,叔
芡,欠
肯,月
天,大
诅,且
尘,土
巽,共
也,也
币,巾
搽,茶
刊,刂
陆,击
损,员
龄,令
绞,交
抹,末
涣,奂
蜈,吴
傻,夂
泱,央
效,攵
雕,隹
格,各
阪,反
粘,占
矩,巨
滑,骨
骠,票
隅,禺
毕,十
冕,免
漏,屚
侪,齐
至,土
脏,庄
血,皿
卡,卡
棘,朿
鲸,京
狮,师
搁,阁
任,壬
腱,建
迷,米
鏖,金
铌,尼
疾,矢
柅,尼
鹕,鸟
沵,尔
脖,孛
鞠,匊
籍,耤
琛,罙
贿,有
祕,必
吡,比
俄,我
磨,石
庀,匕
碎,卒
辑,咠
匙,匕
泔,甘
寰,睘
霎,妾
上,上
屽,干
屽,干
遗,贵
蹴,就
厈,干
犴,干
廓,郭
奴,又
慨,既
哨,肖
杩,马
芉,干
咣,光
牌,卑
猥,畏
蝾,荣
蜿,宛
凿,凿
陂,皮
诘,吉
巷,巳
叩,卩
捐,肙
牭,四
沱,它
砣,它
箐,青
预,页
沜,片
耙,巴
宓,必
碌,录
怃,无
抱,包
伵,四
啮,齿
沙,沙
骅,华
缐,泉
刻,刂
芘,比
缭,尞
鹜,鸟
伣,见
抗,亢
眸,牟
桫,沙
寞,莫
耽,冘
阶,介
豫,象
椭,有
全,王
挱,沙
娑,沙
珠,朱
螈,原
麝,射
缩,宿
货,贝
础,出
绩,责
黄,由
夕,夕
榭,射
波,皮
请,青
俎,且
喘,耑
淹,奄
鸠,鸟
凝,疑
睽,癸
传,专
代,弋
三,三
轶,失
被,皮
啥,舍
蹉,差
夯,力
靡,非
沧,仓
伐,戈
鲤,里
诀,夬
擤,鼻
搜,叟
羊,羊
恭,恭
篮,监
幕,巾
步,少
薮,数
饕,食
莓,每
筵,延
渤,勃
觉,见
闻,耳
垫,土
蟋,悉
沮,且
慢,曼
己,己
沃,夭
探,罙
欠,人
论,仑
徐,余
尝,云
彭,彡
勤,力
良,艮
偈,曷
舸,可
缠,厘
炫,玄
巢,果
舟,舟
令,令
则,刂
鉴,金
斋,而
匣,甲
缥,票
融,虫
铂,白
祝,兄
创,刂
人,人
宝,玉
笑,夭
文,乂
磷,粦
逅,后
笛,由
邪,邪
揩,皆
藩,潘
惮,单
曜,翟
板,反
苞,包
董,重
辙,攵
僧,曾
墩,敦
茁,出
负,贝
思,心
狗,句
罕,干
暮,日
瑰,鬼
痪,奂
招,召
辣,辣
供,共
娴,闲
橇,毛
确,角
薇,微
稍,肖
说,兑
陈,东
喇,剌
悖,孛
铬,各
謦,言
替,日
安,女
滢,莹
忒,心
外,卜
雪,彐
励,力
凹,凹
粹,卒
盹,屯
沈,冘
事,巾
狩,守
勃,力
垂,士
妒,户
挚,手
肩,月
姣,交
在,入
谑,虐
怕,白
兑,兄
迥,冋
岷,民
赤,八
沿,口
囚,人
鲛,交
艄,肖
断,斤
利,刂
忻,斤
友,又
卷,犯
儆,敬
渥,屋
妄,女
哽,更
朱,未
道,首
叛,反
汤,扬
尻,九
盗,皿
玩,元
潘,番
谷,谷
昔,昔
妤,予
念,心
胡,月
革,革
龈,艮
性,生
榆,俞
迄,乞
滔,舀
赡,詹
层,云
诬,巫
柄,丙
憧,童
依,衣
羁,马
咨,口
鸳,鸟
花,化
赔,咅
蜴,易
冷,令
笋,尹
涩,土
切,刀
浔,寻
猁,利
闸,甲
咒,几
段,殳
磁,兹
捎,肖
气,气
荔,力
籼,山
底,氐
鳖,鱼
语,吾
傥,党
绑,邦
桩,庄
嗦,索
珐,去
邺,阝
纡,于
箭,前
猪,者
益,皿
唬,虎
触,虫
颅,页
卫,卫
钩,勾
师,帀
姗,册
亚,业
自,目
畜,田
挑,兆
喳,查
化,匕
万,万
龟,龟
